xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
5,23,13,16,11,22,26,30,20.0,18,3.501842975616455
20,2,28,17,6,17,24,31,27.5,26,4.619323253631592
28,17,20,2,24,31,6,17,27.5,26,4.619323253631592
12,29,28,9,10,17,22,23,27.0,33,5.019415855407715
28,9,12,29,22,23,10,17,27.0,33,5.019415855407715
30,9,16,26,26,18,4,25,36.0,29,7.005323171615601
16,26,30,9,4,25,26,18,36.0,29,7.005323171615601
17,23,1,29,6,13,11,18,17.0,13,3.226787805557251
1,29,17,23,11,18,6,13,17.0,13,3.226787805557251
2,21,18,3,15,9,20,24,27.0,24,4.834918022155762
18,3,2,21,20,24,15,9,27.0,24,4.834918022155762
20,18,9,23,0,8,22,7,23.5,25,4.046074867248535
9,23,20,18,22,7,0,8,23.5,25,4.046074867248535
2,5,3,24,9,29,31,22,28.5,28,6.270280838012695
3,24,2,5,31,22,9,29,28.5,28,6.270280838012695
20,26,11,16,22,18,1,8,25.0,21,4.19827675819397
11,16,20,26,1,8,22,18,25.0,21,4.19827675819397
11,17,27,10,26,25,19,18,21.5,24,3.701188802719116
27,10,11,17,19,18,26,25,21.5,24,3.701188802719116
9,23,3,5,17,3,2,28,36.0,21,6.235360860824585
3,5,9,23,2,28,17,3,36.0,21,6.235360860824585
15,29,2,4,23,31,12,29,28.5,31,5.7874228954315186
2,4,15,29,12,29,23,31,28.5,31,5.7874228954315186
5,5,7,31,12,24,18,27,21.5,22,5.240599155426025
7,31,5,5,18,27,12,24,21.5,22,5.240599155426025
18,18,15,9,21,27,24,6,24.0,26,4.882392883300781
15,9,18,18,24,6,21,27,24.0,26,4.882392883300781
19,9,11,30,14,10,22,7,22.0,28,4.651505947113037
11,30,19,9,22,7,14,10,22.0,28,4.651505947113037
8,24,10,19,11,31,8,8,18.5,22,4.400816917419434
10,19,8,24,8,8,11,31,18.5,22,4.400816917419434
28,8,20,8,5,6,9,9,8.5,9,1.3661110401153564
20,8,28,8,9,9,5,6,8.5,9,1.3661110401153564
8,14,4,12,20,9,24,5,7.0,7,1.1030828952789307
4,12,8,14,24,5,20,9,7.0,7,1.1030828952789307
12,19,27,20,15,24,6,17,18.0,20,3.3147480487823486
27,20,12,19,6,17,15,24,18.0,20,3.3147480487823486
0,19,28,13,21,3,3,13,36.0,32,6.222918272018433
28,13,0,19,3,13,21,3,36.0,32,6.222918272018433
21,31,20,19,26,11,29,4,11.5,13,1.7289443016052246
20,19,21,31,29,4,26,11,11.5,13,1.7289443016052246
12,24,15,23,8,19,11,1,12.5,18,2.7642810344696045
15,23,12,24,11,1,8,19,12.5,18,2.7642810344696045
27,17,23,22,0,16,9,8,14.0,16,2.3019859790802
23,22,27,17,9,8,0,16,14.0,16,2.3019859790802
10,15,4,2,14,31,22,9,29.5,34,5.556100845336914
4,2,10,15,22,9,14,31,29.5,34,5.556100845336914
25,24,12,16,13,28,19,30,14.5,20,2.814872980117798
12,16,25,24,19,30,13,28,14.5,20,2.814872980117798
1,10,2,27,15,27,24,17,23.5,20,6.242463827133179
2,27,1,10,24,17,15,27,23.5,20,6.242463827133179
0,14,5,24,23,31,17,24,16.0,18,2.595968008041382
5,24,0,14,17,24,23,31,16.0,18,2.595968008041382
28,20,23,30,26,5,28,8,11.0,16,2.1994588375091553
23,30,28,20,28,8,26,5,11.0,16,2.1994588375091553
26,17,23,18,1,25,1,3,19.0,20,5.079822778701782
23,18,26,17,1,3,1,25,19.0,20,5.079822778701782
29,8,30,15,24,12,29,27,20.0,19,4.072135925292969
30,15,29,8,29,27,24,12,20.0,19,4.072135925292969
15,22,25,14,9,29,13,29,11.0,18,2.390838861465454
25,14,15,22,13,29,9,29,11.0,18,2.390838861465454
29,8,6,9,17,24,1,19,26.5,27,3.9780421257019043
6,9,29,8,1,19,17,24,26.5,27,3.9780421257019043
22,25,0,8,30,0,29,21,33.5,30,5.4619951248168945
0,8,22,25,29,21,30,0,33.5,30,5.4619951248168945
6,17,14,18,18,23,15,17,12.0,11,2.6224138736724854
14,18,6,17,15,17,18,23,12.0,11,2.6224138736724854
0,13,27,9,24,18,17,1,31.5,25,5.012671947479248
27,9,0,13,17,1,24,18,31.5,25,5.012671947479248
16,31,16,11,8,24,15,4,32.5,30,5.074131965637207
16,11,16,31,15,4,8,24,32.5,30,5.074131965637207
17,7,3,31,6,16,23,15,38.0,31,8.754802942276001
3,31,17,7,23,15,6,16,38.0,31,8.754802942276001
20,6,28,27,4,27,1,3,36.0,30,6.354594707489014
28,27,20,6,1,3,4,27,36.0,30,6.354594707489014
14,20,4,30,29,21,26,6,21.0,22,3.4793317317962646
4,30,14,20,26,6,29,21,21.0,22,3.4793317317962646
31,6,23,17,10,0,19,29,30.5,35,7.190860033035278
23,17,31,6,19,29,10,0,30.5,35,7.190860033035278
22,11,2,24,18,3,2,7,30.5,28,5.551296234130859
2,24,22,11,2,7,18,3,30.5,28,5.551296234130859
1,1,8,29,20,15,31,13,30.0,35,8.01872706413269
8,29,1,1,31,13,20,15,30.0,35,8.01872706413269
21,14,8,5,15,24,9,20,16.0,20,3.1636929512023926
8,5,21,14,9,20,15,24,16.0,20,3.1636929512023926
14,28,25,24,17,1,25,7,15.5,17,2.742548942565918
25,24,14,28,25,7,17,1,15.5,17,2.742548942565918
28,21,20,6,15,30,18,15,23.5,24,4.155433177947998
20,6,28,21,18,15,15,30,23.5,24,4.155433177947998
13,14,0,22,19,7,4,28,37.5,24,10.317418098449707
0,22,13,14,4,28,19,7,37.5,24,10.317418098449707
17,15,15,8,1,26,21,27,23.0,26,4.771795272827148
15,8,17,15,21,27,1,26,23.0,26,4.771795272827148
6,30,15,14,15,22,20,3,26.5,26,4.421049118041992
15,14,6,30,20,3,15,22,26.5,26,4.421049118041992
8,29,11,5,4,5,7,22,28.5,26,4.738516092300415
11,5,8,29,7,22,4,5,28.5,26,4.738516092300415
30,28,18,31,1,12,23,31,31.0,21,8.477087020874023
18,31,30,28,23,31,1,12,31.0,21,8.477087020874023
31,9,19,0,2,21,25,20,26.5,27,4.549019813537598
19,0,31,9,25,20,2,21,26.5,27,4.549019813537598
5,17,18,30,25,8,1,28,35.0,23,6.222042083740234
18,30,5,17,1,28,25,8,35.0,23,6.222042083740234
29,2,21,18,4,25,15,23,20.5,20,3.584794282913208
21,18,29,2,15,23,4,25,20.5,20,3.584794282913208
4,27,17,23,20,14,30,26,24.5,19,4.176577091217041
17,23,4,27,30,26,20,14,24.5,19,4.176577091217041
22,26,28,29,22,5,4,29,25.5,33,5.819891929626465
28,29,22,26,4,29,22,5,25.5,33,5.819891929626465
28,29,4,2,30,30,26,22,32.5,36,7.762999057769775
4,2,28,29,26,22,30,30,32.5,36,7.762999057769775
27,18,21,5,30,30,30,9,26.0,23,8.326523780822754
21,5,27,18,30,9,30,30,26.0,23,8.326523780822754
12,26,26,13,28,12,0,9,31.0,29,5.093739032745361
26,13,12,26,0,9,28,12,31.0,29,5.093739032745361
2,16,10,27,22,10,4,7,32.0,26,6.290654897689819
10,27,2,16,4,7,22,10,32.0,26,6.290654897689819
29,8,0,12,9,23,11,31,29.5,32,5.605652093887329
0,12,29,8,11,31,9,23,29.5,32,5.605652093887329
30,10,7,10,30,9,8,24,36.0,41,6.410895109176636
7,10,30,10,8,24,30,9,36.0,41,6.410895109176636
11,20,5,9,15,8,3,21,24.0,20,4.924999713897705
5,9,11,20,3,21,15,8,24.0,20,4.924999713897705
2,24,23,30,1,30,4,11,28.5,26,4.597831964492798
23,30,2,24,4,11,1,30,28.5,26,4.597831964492798
9,2,6,31,21,23,17,15,26.0,28,5.541968107223511
6,31,9,2,17,15,21,23,26.0,28,5.541968107223511
23,28,28,4,18,30,12,10,31.5,30,5.521714210510254
28,4,23,28,12,10,18,30,31.5,30,5.521714210510254
2,29,26,13,9,4,22,6,28.5,35,5.73540472984314
26,13,2,29,22,6,9,4,28.5,35,5.73540472984314
22,6,31,16,18,31,0,22,26.0,29,4.485025882720947
31,16,22,6,0,22,18,31,26.0,29,4.485025882720947
26,16,26,9,1,27,16,1,27.0,34,6.439849853515625
26,9,26,16,16,1,1,27,27.0,34,6.439849853515625
8,18,11,1,18,27,25,0,30.0,28,5.650444984436035
