xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
21,4,0,20,24,14,28,17,23.0,29,3.1099047660827637
0,20,21,4,28,17,24,14,23.0,29,3.1099047660827637
8,14,1,2,26,4,27,5,10.5,11,1.3823621273040771
1,2,8,14,27,5,26,4,10.5,11,1.3823621273040771
1,26,27,6,15,4,12,23,36.0,34,5.445908069610596
27,6,1,26,12,23,15,4,36.0,34,5.445908069610596
7,26,10,30,2,20,26,22,22.5,29,2.979724884033203
10,30,7,26,26,22,2,20,22.5,29,2.979724884033203
24,24,27,11,25,27,25,6,21.5,20,2.389242172241211
27,11,24,24,25,6,25,27,21.5,20,2.389242172241211
14,20,22,12,10,7,25,3,20.5,18,1.8469598293304443
22,12,14,20,25,3,10,7,20.5,18,1.8469598293304443
1,29,16,12,24,29,25,9,31.5,32,2.9681689739227295
16,12,1,29,25,9,24,29,31.5,32,2.9681689739227295
3,0,10,30,29,2,0,10,40.0,35,3.455883026123047
10,30,3,0,0,10,29,2,40.0,35,3.455883026123047
11,10,31,18,21,5,16,4,19.0,24,2.162214756011963
31,18,11,10,16,4,21,5,19.0,24,2.162214756011963
31,31,25,29,5,16,0,15,7.0,7,0.5338101387023926
25,29,31,31,0,15,5,16,7.0,7,0.5338101387023926
5,31,11,17,20,0,23,29,31.0,31,7.69297194480896
11,17,5,31,23,29,20,0,31.0,31,7.69297194480896
29,31,1,18,2,23,10,12,32.0,23,3.1686339378356934
1,18,29,31,10,12,2,23,32.0,23,3.1686339378356934
17,24,0,27,7,13,19,30,26.5,20,2.2659389972686768
0,27,17,24,19,30,7,13,26.5,20,2.2659389972686768
12,3,2,8,25,10,23,1,17.0,16,1.4073820114135742
2,8,12,3,23,1,25,10,17.0,16,1.4073820114135742
7,26,23,20,8,27,23,13,26.5,26,3.038227081298828
23,20,7,26,23,13,8,27,26.5,26,3.038227081298828
11,15,29,7,3,9,22,29,34.5,31,3.0138919353485107
29,7,11,15,22,29,3,9,34.5,31,3.0138919353485107
22,19,2,10,12,13,6,24,25.0,24,2.2211530208587646
2,10,22,19,6,24,12,13,25.0,24,2.2211530208587646
30,18,30,17,10,24,23,0,22.0,28,31.948060989379883
30,17,30,18,23,0,10,24,22.0,28,31.948060989379883
1,13,31,21,6,28,6,0,39.0,32,4.534336090087891
31,21,1,13,6,0,6,28,39.0,32,4.534336090087891
28,10,29,27,12,26,15,15,19.0,16,9.140024900436401
29,27,28,10,15,15,12,26,19.0,16,9.140024900436401
1,16,25,22,26,5,14,0,24.5,29,60.0
25,22,1,16,14,0,26,5,24.5,29,60.0
16,10,7,22,24,12,10,2,23.5,21,4.280256986618042
7,22,16,10,10,2,24,12,23.5,21,4.280256986618042
11,10,28,7,29,16,21,10,17.0,15,2.0645251274108887
28,7,11,10,21,10,29,16,17.0,15,2.0645251274108887
