xs1,ys1,xg1,yg1,distance,replanning count,time
20,19,25,24,10,10,1.380951166152954
4,1,10,11,16,14,2.057866096496582
26,7,21,15,15,14,2.061617374420166
30,19,1,5,45,40,6.859615087509155
7,7,19,29,36,35,5.2419209480285645
11,27,8,28,4,4,0.48852992057800293
13,29,17,1,42,32,5.772459983825684
11,25,30,7,39,37,5.163751125335693
23,14,31,1,21,8,2.8118247985839844
14,26,22,7,31,28,4.418468952178955
7,27,9,22,9,9,1.196601152420044
25,28,0,7,46,37,6.281225204467773
13,26,9,20,12,12,1.5390849113464355
5,6,17,3,17,15,2.2873148918151855
2,6,5,30,31,27,4.352181911468506
13,22,24,3,34,29,4.605240821838379
19,27,31,15,24,19,3.045974016189575
12,6,8,8,6,6,0.7527587413787842
19,8,2,6,27,17,3.506056785583496
28,9,0,25,44,37,5.947366952896118
14,30,7,30,9,8,1.1289191246032715
20,8,7,17,24,23,3.2672789096832275
23,10,3,1,33,24,4.3946778774261475
3,13,5,25,18,17,2.3732738494873047
16,1,5,30,46,38,6.1379241943359375
4,10,30,31,51,38,6.682178974151611
6,4,13,4,9,9,1.1469919681549072
6,20,10,6,20,20,2.6523659229278564
23,23,12,12,24,24,3.177891254425049
11,28,20,2,35,32,4.623605012893677
26,20,26,16,4,4,0.512631893157959
29,26,1,2,58,43,7.890111923217773
8,16,2,27,17,12,2.1902718544006348
12,19,14,28,11,9,1.4199879169464111
20,17,20,24,7,7,0.9487082958221436
10,16,14,23,11,11,1.4483757019042969
16,15,1,19,23,21,3.040436267852783
11,16,5,3,21,17,2.8885531425476074
0,11,5,26,24,22,3.274664878845215
31,31,19,29,16,14,1.9551527500152588
2,0,14,3,15,14,1.8401679992675781
15,11,27,2,23,18,2.909575939178467
22,16,11,16,11,11,1.421302080154419
26,3,6,22,39,38,5.077808141708374
1,25,6,22,10,7,1.2826919555664062
6,1,18,21,34,32,4.476571083068848
27,0,10,19,36,35,4.700958967208862
11,9,13,5,6,6,0.8593480587005615
5,29,11,3,32,29,4.2995851039886475
8,18,17,31,24,18,3.391810894012451
17,13,31,0,27,11,3.6128759384155273
31,30,18,9,36,32,4.746696949005127
12,14,0,13,15,13,2.0377941131591797
11,8,27,12,22,19,2.970392942428589
11,25,11,0,29,26,3.825589895248413
22,1,18,3,6,6,0.75335693359375
5,1,24,3,31,27,3.998748302459717
2,3,1,29,39,29,8.370726108551025
20,15,23,18,6,6,0.7568199634552002
17,26,17,25,1,1,0.11995887756347656
25,23,20,7,23,22,3.1829798221588135
8,21,23,24,20,19,2.674377202987671
25,18,8,21,22,22,3.0077579021453857
16,3,10,23,28,27,3.7399861812591553
0,10,30,22,48,43,6.5081400871276855
30,21,16,19,20,20,2.651578903198242
2,26,20,22,30,27,3.875169038772583
8,18,12,12,10,10,1.360327959060669
6,9,15,14,18,17,2.351470947265625
16,31,8,21,22,20,2.9385128021240234
29,15,16,31,29,25,3.834223985671997
29,29,30,12,24,21,3.3742640018463135
3,31,3,13,28,26,4.020019292831421
16,6,11,6,13,11,1.7702817916870117
9,22,10,16,7,7,0.8719611167907715
15,30,21,3,39,34,5.136909008026123
14,31,29,5,57,40,9.089422941207886
23,17,15,5,20,19,2.6110451221466064
23,23,2,10,34,31,4.534658908843994
3,30,15,29,17,14,2.252924919128418
